index,structure_name,success,initial_energy,final_energy,energy_change,homo_lumo_gap,dipole_moment,error_message,relative_energy_kcal
4,edta_conformer_3,True,,-67.990437481234,,2.4823000000000004,0.2,,0.0
2,edta_conformer_4,True,,-67.988696656193,,2.9995000000000003,0.558,,1.092384205911997
0,edta_conformer_1,True,,-67.985403667323,,2.9010999999999996,0.963,,3.158765919822009
1,edta_conformer_0,True,,-67.984648424125,,2.9804000000000004,-0.496,,3.632688181788876
3,edta_conformer_2,True,,-67.982551512426,,2.8137,0.244,,4.9485201391843985
